Year,ISRO Nominal Budget (millions of dollars),2020 Constant USD (millions)
2004,304.1218319999999,915.35304
2005,320.112528,924.19188
2006,358.63986,978.76392
2007,393.3605279999999,1009.04016
2008,419.22858,992.7869999999999
2009,499.555188,1067.3958
2010,537.8677799999999,1025.136
2011,454.894656,796.35612
2012,582.754068,933.3859199999999
2013,620.2741679999999,895.68
2014,698.563956,948.3242399999999
2015,830.400624,1064.69796
2016,964.7996159999999,1178.46144
2017,1095.667968,1305.79764
2018,1343.118792,1526.66712
2019,1563.995004,1651.25664
2020,1138.806468,1138.80648
2021,1496.8608,1496.8608
